Symbol|Security Name|Market Category|Reg SHO Threshold Flag|Rule 3210|Filler
DGRS|WISDOMTREE TR US SMALL CAP QUA|G|Y|N|
DRWI|DRAGONWAVE INC COM NEW (CDA)|S|Y|N|
DSLV|VELOCITYSHS 3X INVERSE SILVER|G|Y|N|
DWIN|POWERSHARES ETF R II DWA TACTI|G|Y|N|
FNK|FIRST TRUST MID CAP VALUE ALPH|G|Y|N|
FPXI|FIRST TR ETF II INTL IPO ETF (|G|Y|N|
FVC|FIRST TR EXCHE-TRD FD VI DORSE|G|Y|N|
GBSN|GREAT BASIN SCIENTIFIC INC COM|S|Y|N|
IGOV|ISHARES 1-3 INTERNATIONAL TREA|G|Y|N|
LVHD|LEGG MASON ETF EQUITY TR LOW V|G|Y|N|
PFSW|PFSWEB, INC COM STK|S|Y|N|
PRGN|PARAGON SHIPPING INC CL A NEW|S|Y|N|
QQQ|POWERSHARES QQQ TR UNIT SER-1|G|Y|N|
TQQQ|PROSHARES ULTRAPRO QQQ|G|Y|N|
TVIX|CREDIT SUISSE NASSAU VS BRH EX|G|Y|N|
UGLD|VELOCITYSHARES 3X LONG GOLD ET|G|Y|N|
UNXL|UNI-PIXEL, INC.|S|Y|N|
VGSH|VANGUARD  SHT-TRM GOVT BD ETF|G|Y|N|
XGTI|XG TECHNOLOGY INC COM PAR $.00|S|Y|N|
20160510230003
